"County Name","GEOID","EnviroScreen Score","EnviroScreen Score Percentile","Pollution and Climate Burden Score","Pollution and Climate Burden Score Percentile","Pollution and Climate Burden Scale Value","Health and Social Factors Score","Health and Social Factors Score Percentile","Health and Social Factors Scale Value","Environmental Exposures Score","Environmental Effects Score","Climate Vulnerability Score","Sensitive Populations Score","Demographics Score","Environmental Exposures Score Percentile","Environmental Effects Score Percentile","Climate Vulnerability Score Percentile","Sensitive Populations Score Percentile","Demographics Score Percentile","Ozone","Ozone Percentile","Fine particle pollution","Fine particle pollution Percentile","Lead exposure risk","Lead exposure risk Percentile","Diesel particulate matter (PM)","Diesel particulate matter (PM) Percentile","Traffic proximity & volume","Traffic proximity & volume Percentile","Air toxics emissions","Air toxics emissions Percentile","Other air pollutants","Other air pollutants Percentile","Drinking water regulations","Drinking water regulations Percentile","Noise","Noise Percentile","Wastewater discharge indicator","Wastewater discharge indicator Percentile","Proximity to National Priorities List sites","Proximity to National Priorities List sites Percentile","Proximity to Risk Management Plan sites","Proximity to Risk Management Plan sites Percentile","Proximity to hazardous waste facilities","Proximity to hazardous waste facilities Percentile","Proximity to oil and gas","Proximity to oil and gas Percentile","Proximity to mining locations","Proximity to mining locations Percentile","Impaired streams and rivers","Impaired streams and rivers Percentile","Wildfire risk","Wildfire risk Percentile","Floodplains","Floodplains Percentile","Drought","Drought Percentile","Extreme heat days","Extreme heat days Percentile","Population under 5","Population under 5 Percentile","Population over 64","Population over 64 Percentile","Heart disease in adults","Heart disease in adults Percentile","Asthma hospitalization rate","Asthma hospitalization rate Percentile","Life expectancy","Life expectancy Percentile","Low birth weight","Low birth weight Percentile","Cancer prevalence","Cancer prevalence Percentile","Diabetes prevalence","Diabetes prevalence Percentile","Mental health indicator","Mental health indicator Percentile","Percent people of color","Percent people of color Percentile","Percent less than high school education","Percent less than high school education Percentile","Percent low income","Percent low income Percentile","Percent linguistic isolation","Percent linguistic isolation Percentile","Percent disability","Percent disability Percentile","Housing cost burdened","Housing cost burdened Percentile","area","Justice40","Disproportionately Impacted Community","Total Population"
"Boulder County","08013013004",14.55,14.17,48.76,57.49,6.31,20.88,10.01,2.3,41.04,70.36,42.6,26.78,14.97,40.75,85.11,38.75,20.02,9.85,46.46,79.1,7.58,58.21,0,8.65,0.19,39.37,282.53,42.72,0,44.44,0,22.5,0.25,77.34,46.62,63.81,0.05,67.59,0.19,86.39,1.93,92.39,0.32,38.27,0,80.54,0,72.94,NA,NA,17.53,39.95,0,51.64,169.03,38.03,18,41.95,0.07,72.46,0.1,26.1,1.5,12.26,313.06,12.08,80.6,40.19,8.21,70.04,6.1,46.78,10.2,10.39,5.3,18.52,0.22,44.12,0,3.68,0.17,33.01,0.01,48.1,0.05,5.49,0.19,7.94,"Census Tract",NA,NA,3530
"Boulder County","08013013005",19.9,31.95,55.83,81.35,7.23,24.94,16.65,2.75,54.18,71.75,43.22,20.35,29.53,74.86,86.63,40.83,9.69,28.82,46.23,73.74,7.71,61.25,0.27,69.5,0.2,41.71,305.88,45.5,0,60.69,0,22.5,0.25,77.34,46.63,63.97,0.08,73.4,0.16,81.99,1.2,83.11,0.44,46.44,0,80.54,0,72.94,NA,NA,19.15,42.35,0,51.64,169.03,38.03,18,41.95,0.07,78.54,0.12,39.07,2,27.74,463.91,25.6,84.4,6.23,2.31,1.59,6.6,56.68,11,20.69,5.6,23.59,0.12,14.81,0.05,42.51,0.14,24.68,0,24.7,0.08,25.04,0.35,68.99,"Census Tract",NA,NA,3179
"Boulder County","08013013006",18.26,26.18,54.58,78.3,7.07,23.4,14.01,2.58,48.62,71.59,49.48,19.79,27.02,62.85,86.47,58.29,9.05,25.38,46.35,76.7,7.65,59.89,0.1,52.84,0.21,44.12,108.57,22.34,0,44.44,0,29.62,0.25,77.34,46.51,62.29,0.14,80.76,0.2,87.43,1.05,80.54,0.51,50.12,0,80.54,0,72.94,55.12,57.54,28.49,51.96,1.4,72.3,169.03,38.03,18,41.95,0.04,27.06,0.08,16.17,1.7,17.26,385.14,17.55,83.4,11.81,5.58,25.36,6.4,52.98,10.4,12.96,5.2,17.07,0.16,27.3,0.02,23.94,0.15,27.02,0.03,70.69,0.06,13.09,0.24,23.81,"Census Tract",NA,NA,6072
"Boulder County","08013013205",17.52,23.06,53.82,76.38,6.97,22.78,12.89,2.51,52.6,58.3,51.78,26.18,19.38,71.34,64.45,64.05,18.9,14.49,46.22,73.42,7.5,55.72,0.1,54.04,0.18,37.92,196.59,34.53,0.01,66.61,0,61.33,0.25,77.34,42.82,33.71,0,28.34,0.06,47.4,0.74,72.14,0.41,44.84,30.6,89.43,0,72.94,83.06,80.82,69.11,75.58,0,51.64,169.03,38.03,18.2,48.44,0.03,15.85,0.13,44.04,2.4,42.82,218.32,5.72,NA,NA,NA,NA,7.8,80.27,10.4,12.96,6.8,47.34,0.13,19.86,0.02,13.37,0.17,32.36,0,24.7,0.06,14.14,0.22,17.65,"Census Tract",NA,NA,5396
"Boulder County","08013013207",23.03,41.23,50.6,64.85,6.55,31.84,29.54,3.52,45.47,50.81,60.65,40.01,23.67,54.12,48.76,79.42,49.56,20.58,46.08,69.74,7.31,51.16,0.03,35.15,0.14,32.05,487.97,59.66,0,44.44,0,30.42,0.25,77.34,42.65,33.15,0,45.32,0.04,39.15,0.2,34.75,0.46,47.48,0,80.54,0,72.94,NA,NA,71.42,76.06,0,51.64,169.03,38.03,19.6,90.55,0.07,75.26,0.15,51.16,2.4,42.82,646,53.14,84.8,4.84,9.52,85.77,7.5,74.56,11.2,23.43,6.5,41.38,0.13,18.57,0.01,6.89,0.16,29.85,0,25.34,0.09,39.01,0.29,46.64,"Census Tract",NA,NA,4538
"Denver County","08031003701",33.65,65.73,65.19,97.6,8.44,36.12,38.19,3.99,59.82,78.14,62.97,30.43,41.8,87.35,92.63,83.27,27.7,47.48,43.22,5.44,8.54,90.71,0.53,86.15,0.55,92.67,1262.37,88.3,0,44.44,0.01,68.05,0.58,97.6,53.54,95.44,0.02,57.28,0.27,92.31,1.48,87.83,1.65,83.43,0,80.54,0,72.94,NA,NA,45.43,64.85,0,51.64,263.79,61.09,18.8,76.86,0.02,10.49,0.15,53.88,2.2,36.37,620.75,49.52,73.9,93.86,5.81,29.21,5.2,27.05,11.4,26.49,4.8,11.19,0.23,46.12,0.02,23.7,0.21,42.39,0.01,45.59,0.1,46.2,0.31,54.66,"Census Tract",NA,NA,3677
"Denver County","08031003702",23.11,41.63,59.59,89.27,7.72,27.13,20.74,3,59.84,81.62,37.04,17.24,37.03,87.51,95.92,24.1,6.08,39.71,43.33,6.33,8.48,88.55,0.66,91.67,0.57,94.52,766.05,76.51,0,44.44,0.01,64.37,0.58,97.6,53.23,94.88,0.1,75.74,0.36,94.64,1.1,81.59,1.8,86.07,0,80.54,0,72.94,NA,NA,0,7.77,0,51.64,263.79,61.09,18.8,76.86,0.04,22.74,0.1,24.18,1.5,12.26,658.61,55.15,NA,NA,4.23,8.62,4.5,14.25,11.7,30.76,4.2,5.56,0.18,31.31,0.02,20.66,0.23,47.33,0,24.7,0.09,42.57,0.39,80.08,"Census Tract",NA,NA,4994
"Denver County","08031003703",28.43,54.12,59.49,89.11,7.7,33.43,33.15,3.69,60.76,79.4,37.04,23.5,43.36,89.03,93.76,24.1,14.81,49.32,43.36,6.97,8.5,89.51,0.64,90.95,0.54,92.27,1633.98,91.33,0,44.44,0,57.01,0.58,97.6,53.59,95.6,0.09,75.3,0.22,89.67,0.91,77.18,1.56,81.83,0,80.54,0,72.94,NA,NA,0,7.77,0,51.64,263.79,61.09,18.8,76.86,0.06,65.17,0.06,7.13,1.4,10,713.94,62.08,78.4,65.86,8.42,72.72,4.3,11.43,11.7,30.76,4.1,4.51,0.27,54.68,0.03,31.39,0.19,37.22,0.03,74.01,0.07,21.41,0.34,65.67,"Census Tract",NA,NA,3266
"Denver County","08031003800",30.29,58.69,60.93,92.39,7.89,34.78,35.95,3.84,63.94,75.44,40.42,30.9,38.65,94.24,90.23,32.27,28.26,42.67,43.61,13.29,8.43,86.31,0.1,53.56,0.56,93.4,1680.49,91.9,0,51.8,0.01,71.5,0.58,97.6,52.48,93.67,0.37,90.47,0.2,88.15,0.49,61.01,1.68,84.55,0,80.54,0,72.94,55.12,57.54,0,7.77,1.53,73.18,263.79,61.09,18.8,76.86,0.02,5.84,0.3,97.52,3.6,80.08,446.36,24.15,82.3,18.98,9.09,81.76,8.6,90.58,9.5,4.59,6.2,36.15,0.15,22.9,0.02,20.1,0.13,23.54,0.03,74.17,0.15,79.73,0.31,52.06,"Census Tract",NA,NA,6850
"Denver County","08031003901",19.84,31.71,70.74,99.44,9.16,19.62,7.85,2.17,67.68,77.28,70.33,22.39,16.86,97.76,91.91,90.07,13.05,11.69,43.85,19.22,8.37,83.43,0.53,86.23,0.57,94.28,996.09,83.72,0,54.68,0,54.52,0.58,97.6,52.53,93.84,0.51,92.2,0.2,88.31,0.57,65.57,2.13,91.19,0,80.54,0,72.94,55.12,57.54,56.09,69.9,1.8,74.54,263.79,61.09,18.8,76.86,0.06,57.01,0.29,96.64,3.9,85.32,328.29,13.2,83.3,12.47,3.59,4.44,9.2,95.01,8.7,1.05,6.5,41.38,0.12,15.61,0.01,4.56,0.1,13.51,0,24.7,0.08,29.81,0.26,32.39,"Census Tract",NA,NA,4204
"Denver County","08031004102",66.16,99.68,61.8,93.35,8,74.89,96.72,8.27,61.32,82.96,41.61,64.17,85.61,89.67,97.2,35.55,91.27,96.08,43.17,4.88,8.74,96.48,0.84,98.4,0.48,88.49,396.67,52.86,0.03,81.67,0.02,76.86,0.58,97.6,51.74,92.23,0.01,55.98,0.24,90.87,5.25,99.68,3.24,97.28,0,80.54,0,72.94,89.54,93.32,3.38,15.13,0.78,66.93,263.79,61.09,18.2,48.44,0.06,61.73,0.11,32.03,2.5,45.24,1305.68,94.93,77.1,77.95,12.89,98.41,5.5,33.25,15.7,86.63,12.9,98.39,0.73,95.6,0.17,86.87,0.46,87.38,0.06,84.62,0.14,74.72,0.42,85.83,"Census Tract",TRUE,NA,5054
"Denver County","08031004103",33.64,65.65,54.78,78.86,7.09,42.96,50.44,4.74,55.28,75.55,33.01,48.09,37.83,77.18,90.47,14.57,66.13,41.31,43.19,4.96,8.63,94,0.91,99.6,0.52,91.06,645.68,69.64,0,44.44,0,40.03,0.58,97.6,52.71,94.16,0,38.21,0.3,93.43,3.4,98.08,2.07,90.39,0,80.54,0,72.94,NA,NA,0,7.77,0,51.64,263.79,61.09,18.2,48.44,0.06,65.65,0.14,46.28,2.8,55.81,908.22,81,80.5,40.84,6.15,36.4,6.4,52.98,10.9,19.16,7.9,66.34,0.38,72.7,0.06,52.2,0.14,26.13,0.01,48.99,0.07,19.55,0.25,30.85,"Census Tract",NA,NA,5593
"Denver County","08031004104",33.82,66.37,57.85,86.23,7.49,40.89,47.16,4.51,58.95,77.71,35.78,50.55,31.23,85.35,92.39,19.62,71.66,31.63,43.27,6.16,8.66,94.88,0.87,99.12,0.44,86.15,578.51,65.47,0,44.44,0.01,64.29,0.58,97.6,52.82,94.24,0.01,48.44,0.21,88.87,3.08,97.2,2.04,89.59,0,80.54,0,72.94,NA,NA,1.82,10.73,0,51.64,263.79,61.09,18.2,48.44,0.06,56.93,0.14,49.72,2.4,42.82,1145.77,91.06,77,78.7,8.14,68.95,5.9,41.87,10.4,12.96,7.9,66.34,0.52,83.99,0.06,53.88,0.11,17.15,0.01,38.38,0.1,48.71,0.18,6.4,"Census Tract",NA,NA,4758
"Arapahoe County","08005082300",36.69,70.62,46.82,48.44,6.06,54.82,72.06,6.05,44.58,51.96,46.16,40.62,69.03,50.84,51.32,49.64,51.08,81.02,44.6,37.23,8.25,78.62,0,8.65,0.33,72.46,855.75,79.71,0,44.44,0,22.5,0.13,70.62,46.95,67.41,0.01,53.21,0.11,70.86,0.31,49.24,0.35,40.67,0,80.54,0,72.94,0,23.06,21.06,44.6,10.69,96.72,38.63,13.69,18.8,76.86,0.07,68.29,0.14,50.12,1.4,10,830.22,75.2,76.7,80.19,5.97,32.89,4.5,14.25,14.6,75.2,6.5,41.38,0.57,87.11,0.11,72.54,0.24,50.16,0.05,81.3,0.11,55.57,0.38,75.55,"Census Tract",NA,NA,4157
"Arapahoe County","08005080800",44.31,82.63,48.05,54.44,6.22,64.5,86.95,7.12,58.39,49.95,25.49,45.69,83.31,84.07,46.76,5.12,61.57,94.24,44.22,28.74,8.42,85.91,0.03,34.91,0.4,80.84,2227.03,95.34,0,44.44,0,43.23,0.13,70.62,49.6,87.51,0,20.45,0.08,54.28,0.19,32.43,1.18,73.42,0,80.54,0,72.94,NA,NA,0,7.77,0,51.64,38.63,13.69,18.8,76.86,0.11,98.4,0.07,13.69,1.5,12.26,730.22,64.25,80,46.23,9.84,88.12,5.2,27.05,16.2,89.86,9.3,82.61,0.72,95.28,0.32,97.28,0.42,82.28,0.21,99.51,0.1,52.26,0.42,84.29,"Census Tract",TRUE,NA,3699
"Arapahoe County","08005006502",33.81,66.29,52.07,70.46,6.74,45.42,55.72,5.01,59.97,49.25,39.08,49.49,41.34,87.83,45.72,28.74,68.86,46.6,45.84,64.69,7.53,56.37,0.63,90.47,0.38,77.13,231.7,37.4,0,44.44,0,43.63,0.13,70.62,47.97,77.02,0,30.33,0.08,56.85,0.85,75.74,0.33,39.71,0,80.54,0,72.94,0,23.06,7.41,25.06,4.43,88.47,38.63,13.69,18.8,76.86,0.05,49.8,0.13,42.75,2,27.74,922.06,82.05,77,78.7,5.83,29.62,6.5,54.67,13.5,60.95,6.8,47.34,0.13,17.53,0.07,57.33,0.32,66.83,0,24.7,0.1,46.37,0.34,64.94,"Census Tract",NA,NA,3523
"Arapahoe County","08005082600",37.79,72.22,52.07,70.54,6.74,50.76,65.33,5.6,57.02,45.59,48.68,36.65,64.87,81.35,38.43,56.12,40.19,76.62,44.46,34.43,8.28,80.46,0.02,27.06,0.31,68.92,1020.77,84.37,0,48.12,0,59.01,0.13,70.62,47.5,72.86,0,25.22,0.12,72.14,0.33,50.2,0.25,33.07,0,80.54,0,72.94,0,23.06,33.79,56.93,7.07,93.76,38.63,13.69,18.8,76.86,0.04,32.91,0.08,15.53,1.4,10,1288.59,94.44,75.4,88.09,8.35,71.55,4.4,12.96,14.1,70.13,6.6,43.16,0.62,90.55,0.09,67.01,0.2,41.42,0.06,85.67,0.1,48.79,0.36,70.93,"Census Tract",NA,NA,5556
"Arapahoe County","08005005628",21.88,37.71,47.17,50.04,6.11,32.45,30.9,3.58,61.55,40.6,24.97,45.01,19.9,90.15,27.62,4.16,60.21,15.29,45.81,63.57,7.66,60.37,0.03,32.75,0.42,83.98,447.58,55.89,0.02,75.5,0.01,62.69,0.13,70.62,46.66,64.29,0,15.34,0.06,48.04,0.14,21.86,0.46,47.32,0,80.54,0,72.94,NA,NA,5.41,20.74,0,51.64,38.63,13.69,17.2,26.5,0.08,80.94,0.19,73.34,2.9,60,554.32,39.21,81.3,32.19,6.51,43.1,8,83.49,10.4,12.96,6.2,36.15,0.1,8.81,0.03,29.06,0.1,13.19,0,24.7,0.09,39.82,0.22,18.7,"Census Tract",NA,NA,5859
"Arapahoe County","08005006711",14.87,15.05,42.81,34.35,5.54,24.3,15.61,2.68,48.22,38.74,36.07,38.65,9.95,61.57,24.42,20.26,46.36,3.76,45.53,57.57,7.78,63.33,0.01,13.37,0.42,84.06,386.85,51.8,0,44.44,0,28.02,0.13,70.62,47.85,75.5,0,15.94,0.07,49.16,0.18,30.74,0.34,40.11,0,80.54,0,72.94,0,23.06,30.36,53.72,3.89,86.87,38.63,13.69,17.2,26.5,0.06,51.8,0.18,70.3,3,62.9,449.89,24.8,81.3,32.19,8.23,70.38,8,83.49,9.5,4.59,6.4,39.05,0.14,20.74,0.04,39.15,0.05,4.21,0.01,41.21,0.08,28.35,0.07,0.24,"Census Tract",NA,NA,4225
"Denver County","08031004601",56.74,96,60.72,91.99,7.86,65.37,87.91,7.22,61.94,77.2,41.81,54.13,76.61,90.71,91.75,36.11,78.14,87.91,44.86,42.75,7.85,65.25,0.89,99.44,0.46,87.28,529.74,63.01,0,44.44,0,22.5,0.58,97.6,50.39,90.15,0.02,56.93,0.22,89.35,1.03,80.22,1.16,73.02,0,80.54,0,72.94,89.54,93.32,0,7.77,1.77,74.38,263.79,61.09,19,86.63,0.08,85.19,0.11,32.91,2.1,31.53,664.66,55.8,78.4,65.86,7.49,59.67,5.6,35.51,14.1,70.13,9.3,82.61,0.71,94.16,0.22,91.91,0.33,69.9,0.06,86.64,0.13,71.65,0.31,53.85,"Census Tract",NA,NA,6481
"Denver County","08031003402",17.46,22.9,69.94,99.2,9.06,17.46,4.56,1.93,68.06,83.72,59.92,22.21,12.71,98,98.08,77.9,12.57,6.65,44.01,22.9,8.3,80.94,0.76,96.4,0.63,95.65,1803.46,92.47,0,53.72,0,40.91,0.58,97.6,51.85,92.47,0.15,81.8,0.24,91.35,1.21,83.35,2.51,94.08,0,80.54,0,72.94,NA,NA,29.77,53.16,0,51.64,263.79,61.09,18.8,76.86,0.05,44.52,0.14,47.08,2.6,48.55,410.54,20.13,83.9,9.21,4.47,11.21,6.4,52.98,10.1,9.58,4.9,12.24,0.12,15.69,0.03,29.86,0.09,12.06,0,24.7,0.03,1.21,0.24,24.94,"Census Tract",NA,NA,4856
"Denver County","08031003602",48.77,88.71,59.84,90.15,7.75,57.01,75.1,6.29,58.74,82.28,39.6,46.39,67.62,85.03,96.64,29.86,62.93,79.34,43.03,3.68,8.65,94.48,0.74,95.36,0.62,95.57,697.14,72.18,0,48.84,0.02,79.58,0.58,97.6,53.67,95.84,0.01,54.33,0.71,99.12,5.26,99.76,3.52,98.32,0,80.54,0,72.94,NA,NA,3.7,16.09,0,51.64,263.79,61.09,18.2,48.44,0.06,57.25,0.07,11.37,2,27.74,1234.39,93.24,77.1,77.95,8.6,75.23,4.6,15.54,14.5,74.56,9.8,87.04,0.7,93.76,0.28,95.12,0.44,84.63,0.1,93.6,0.07,20.19,0.35,67.04,"Census Tract",TRUE,NA,4862
