county_name,geoid20,geoid,enviroscreen_score_percentile,pollution_and_climate_burden_score_percentile,pollution_and_climate_burden_scale_value,health_and_social_factors_score_percentile,health_and_social_factors_scale_value,environmental_exposures_score_percentile,environmental_effects_score_percentile,climate_vulnerability_score_percentile,sensitive_populations_score_percentile,demographics_score_percentile,ozone_percentile,fine_particle_pollution_percentile,lead_exposure_risk_percentile,diesel_particulate_matter_(pm)_percentile,traffic_proximity_&_volume_percentile,air_toxics_emissions_percentile,other_air_pollutants_percentile,drinking_water_regulations_percentile,noise_percentile,wastewater_discharge_indicator_percentile,proximity_to_national_priorities_list_sites_percentile,proximity_to_risk_management_plan_sites_percentile,proximity_to_hazardous_waste_facilities_percentile,proximity_to_oil_and_gas_percentile,proximity_to_mining_locations_percentile,impaired_streams_and_rivers_percentile,wildfire_risk_percentile,floodplains_percentile,drought_percentile,extreme_heat_days_percentile,population_under_5_percentile,population_over_64_percentile,heart_disease_in_adults_percentile,asthma_hospitalization_rate_percentile,life_expectancy_percentile,low_birth_weight_percentile,cancer_prevalence_percentile,diabetes_prevalence_percentile,mental_health_indicator_percentile,percent_people_of_color_percentile,percent_less_than_high_school_education_percentile,percent_low_income_percentile,percent_linguistic_isolation_percentile,percent_disability_percentile,housing_cost_burdened_percentile,area,justice40,disproportionately_impacted_community,total_population
Adams County,08001008402,8001008402,26.34,4.64,3.79,52.12,4.83,12.01,13.05,22.58,83.19,30.02,19.14,37.23,54.6,16.91,2.45,91.27,86.31,13.77,18.09,5.29,35.55,53.88,13.53,96.96,88.79,23.06,20.26,55.16,32.51,51.72,61.57,27.06,82.5,79.39,76.09,58.66,56.68,54.35,44.69,26.9,36.75,45.55,26.15,21.97,29.31,Census Tract,NA,NA,5141
Adams County,08001008505,8001008505,80.94,50.92,6.13,85.51,7.06,63.01,63.65,16.09,90.31,76.7,18.57,97.04,62.45,82.93,93.7,44.44,51.72,13.77,55.08,15.6,68.21,85.11,44.6,80.54,72.94,93.32,8.65,77.5,32.51,60.53,88.47,48.36,69.27,86.55,77.95,26.78,58.94,62.96,78.18,65.41,71.42,60.03,53.77,85.62,57.98,Census Tract,NA,NA,7266
Adams County,08001008506,8001008506,88.23,53.8,6.2,94.16,7.81,48.12,82.23,22.26,84.87,94.08,23.3,96.24,25.14,85.1,86.66,44.44,34.67,13.77,61.41,49.13,60.85,78.86,70.62,80.54,72.94,NA,18.25,51.64,32.51,60.53,21.7,94.8,55.81,71.98,96.84,73.56,29.23,84.62,53.22,71.9,84.87,84.14,73.04,90.15,98.3,Census Tract,TRUE,NA,6775
Adams County,08001008507,8001008507,69.98,46.76,6.02,71.5,6.03,49.64,60.53,33.63,89.75,54.44,20.02,97.28,41.39,76.57,67.51,44.44,52.76,13.77,47.56,14.04,62.85,83.19,76.06,80.54,72.94,NA,23.7,60.37,32.51,60.53,90.63,36.91,62.9,70.21,51.44,57.07,54.67,74.56,81.64,73.26,68.45,51.54,24.7,63.25,25.83,Census Tract,NA,NA,6703
Adams County,08001008508,8001008508,61.65,35.15,5.59,65.89,5.66,29.54,52.76,52.2,72.94,60.77,17.45,98.08,9.69,75.12,64.32,44.44,51.88,13.77,46.2,15.86,65.97,73.82,46.52,80.54,72.94,NA,34.51,71.9,32.51,60.53,72.78,34.99,60,65.94,82.42,40.84,27.05,64.9,41.38,67.25,71.66,39,28.74,69.63,48.34,Census Tract,NA,NA,5672
Adams County,08001008523,8001008523,64.13,62.69,6.49,56.85,5.06,30.34,76.14,82.31,60.53,53.64,9.61,89.27,33.63,39.77,28.97,97.28,96,13.77,30.9,75.91,44.28,36.19,39.79,96.72,95.84,98.17,68.37,76.78,32.51,88.79,23.06,27.46,74.52,48.55,56.93,39,43.72,60.95,57.89,41.87,46.04,28.64,63.08,58.24,49.72,Census Tract,NA,NA,9226
Adams County,08001008524,8001008524,37.15,41.39,5.79,34.27,3.74,26.82,63.57,61.33,35.87,33.87,20.34,97.44,17.93,62.32,26.1,57.09,34.35,13.77,49.96,40.55,53.72,40.27,42.11,86.23,72.94,95.15,65.97,51.64,32.51,60.53,42.35,16.49,66.37,34.62,63.81,32.3,18.44,47.1,27.94,63.97,55.56,22.09,43.81,13.81,26.07,Census Tract,NA,NA,9158
Adams County,08001008526,8001008526,64.37,61.81,6.46,57.89,5.14,34.59,69.02,79.34,57.89,57.97,28.18,95.28,8.65,73.43,46.81,60.45,64.53,13.77,47.16,79.72,51.4,71.82,73.58,87.67,72.94,23.06,72.38,94.8,32.51,60.53,69.34,32.67,71.77,23.19,NA,40.5,37.52,52.58,44.69,58.29,70.62,40.45,58.38,25.12,59.19,Census Tract,NA,NA,6915
Adams County,08001008529,8001008529,69.18,52.92,6.18,67.65,5.77,30.42,80.14,60.13,67.25,66.37,21.62,96.72,8.65,74.15,58.92,44.44,58.13,13.77,47.24,52.17,59.33,68.78,64.85,84.39,72.94,NA,59.89,54.2,32.51,60.53,67.97,54.28,69.27,76.97,46.23,45.1,18.44,72.71,27.94,72.22,77.74,50.89,24.7,54.2,78.95,Census Tract,NA,NA,7446
Adams County,08001008533,8001008533,62.61,61.41,6.45,55.24,4.99,42.11,66.21,72.62,47.8,60.85,14.65,98.48,31.79,76.73,54.66,44.44,60.69,13.77,50.36,21.32,73.34,88.87,38.03,80.54,72.94,86.21,55.56,94,32.51,60.53,77.74,18.57,36.37,48.31,82.42,26.36,27.05,54.35,26.33,76.14,54.04,46.68,37,33.6,76.36,Census Tract,NA,NA,8035
Adams County,08001008534,8001008534,47.96,53.72,6.19,40.59,4.13,28.18,77.18,69.1,48.04,37.63,12.65,99.28,29.78,74.32,52.45,44.44,24.26,13.77,45.48,24.52,74.22,82.55,57.01,80.54,72.94,93.32,60.45,76.86,32.51,60.53,78.78,10.17,39.68,74.88,59.91,31.13,20.45,60.95,39.05,75.74,68.94,25.65,38.87,13.17,30.2,Census Tract,NA,NA,4946
Adams County,08001008535,8001008535,57.41,84.63,7.4,38.75,4.01,60.29,87.91,77.66,28.18,47.64,8.41,99.76,55.4,74.48,81.01,87.83,77.34,13.77,49.88,87.26,76.7,94.48,96.48,80.54,97.84,23.06,65.73,98.8,32.51,60.53,75.1,11.21,42.82,51.61,65.86,15.65,8.45,66.34,23.59,81.1,81.18,51.7,27.37,9.69,59.51,Census Tract,NA,NA,3883
Adams County,08001008536,8001008536,16.09,31.22,5.42,17.77,2.8,17.77,61.57,65.97,24.5,17.93,8.81,96.32,10.41,63.77,41.65,44.44,22.5,13.77,40.59,31.89,70.14,43.63,33.47,82.15,72.94,100,77.18,51.64,32.51,60.53,79.26,12.89,45.24,58.7,NA,14.9,15.54,45.41,18.52,76.7,57.81,9.55,26.4,32.79,2.75,Census Tract,NA,NA,3495
Adams County,08001008537,8001008537,63.49,74.46,6.88,50.92,4.76,39.15,94.32,62.45,31.63,63.57,9.05,99.44,22.26,71.1,50.65,87.03,72.38,13.77,47.96,59.71,74.62,90.39,84.47,80.54,87.59,86.21,68.69,51.64,32.51,60.53,48.68,13.21,39.68,42.27,42.51,28.95,12.96,70.13,34.54,76.62,81.02,33.74,73.28,31.1,49.88,Census Tract,NA,NA,6846
Adams County,08001008538,8001008538,14.01,23.38,5.07,18.09,2.86,24.98,23.38,64.21,11.85,29.54,8.49,95.52,10.97,59.42,27.82,77.02,80.06,13.77,41.15,21.58,49.32,13.69,18.09,88.07,72.94,69.29,70.86,51.64,32.51,60.53,59.73,2.08,42.82,47.75,32.19,19.83,14.25,40.5,12.24,29.14,17.53,30.18,46.07,23.1,43.81,Census Tract,NA,NA,8171
Adams County,08001008539,8001008539,43.8,41.31,5.79,40.67,4.13,20.18,81.51,62.69,23.54,52.92,7.69,98.56,8.65,61.35,35.35,44.44,47.48,13.77,48.44,29.29,84.71,67.01,63.49,80.54,72.94,99.89,68.86,51.64,32.51,60.53,98.48,4.64,27.74,57.57,36.19,63.1,5.96,67.31,20.13,84.39,53.96,38.83,29.64,26.01,70.53,Census Tract,NA,NA,11059
Adams County,08001008540,8001008540,17.37,38.51,5.71,16.49,2.73,19.94,61.97,77.02,18.73,20.1,16.01,98.72,11.93,62.08,6.06,58.13,84.39,13.77,39.95,65.6,53.96,31.79,27.78,91.91,91.03,77.05,76.62,82.31,32.51,60.53,91.59,12.17,62.9,20.93,18.33,32.89,11.43,40.5,14.01,62.77,35.95,8.09,27.45,27.22,11.98,Census Tract,NA,NA,8029
Adams County,08001008541,8001008541,30.5,62.05,6.47,21.22,3.02,39.23,61.25,80.86,34.99,15.77,18.73,97.68,29.46,56.92,24.3,91.43,93.35,13.77,34.67,98.53,47.16,25.3,24.18,96.88,91.27,76.29,80.62,90.79,32.51,60.53,31.87,83.11,93.79,20.45,13.86,19.16,61.11,17.47,49.44,32.35,32.03,0.73,62.43,70.76,19.68,Census Tract,NA,NA,6241
Adams County,08001008542,8001008542,26.9,36.83,5.65,25.38,3.27,31.31,37.07,68.94,19.06,34.03,12.49,91.35,26.58,44.93,37.64,73.5,75.1,13.77,36.51,NA,44.2,19.38,33.23,89.51,72.94,NA,62.21,51.64,32.51,86.63,81.35,3.68,39.68,40.58,79.91,28.62,9.26,57.57,9.98,65.09,66.69,12.3,74.82,7.75,41.38,Census Tract,NA,NA,9823
Adams County,08001008543,8001008543,61.57,38.59,5.71,64.29,5.54,39.39,38.83,57.97,72.46,58.21,13.37,94.16,50.52,52.25,39.77,74.54,61.81,13.77,36.35,41.68,45.8,17.85,40.91,88.95,72.94,NA,58.77,51.64,32.51,60.53,81.18,44.68,71.77,38.81,80.84,16.99,63.61,41.63,63.2,82.31,85.03,45.15,65.59,29.89,23.56,Census Tract,NA,NA,9090
Adams County,08001008544,8001008544,20.82,38.11,5.69,19.38,2.93,22.98,70.06,59.17,17.05,26.74,24.34,96.56,8.65,69.08,37.48,44.44,22.5,13.77,50.76,66.12,49.96,41.07,63.33,86.79,72.94,NA,61.09,51.64,32.51,60.53,78.14,10.65,48.55,32.93,32.19,20.5,12.96,30.76,11.19,62.61,46.68,17.31,48.42,10.66,18.62,Census Tract,NA,NA,5729
Adams County,08001008545,8001008545,45.8,50.28,6.11,39.71,4.05,30.9,77.74,57.57,59.41,27.94,22.34,97.2,17.29,71.58,32.65,44.44,49.96,13.77,51.16,63.17,53.24,59.49,61.89,83.51,72.94,NA,58.21,51.64,32.51,60.53,65.33,38.35,69.27,64.17,25.95,49.79,39.21,32.61,37.28,57.25,59.09,9.39,31.74,30.13,19.11,Census Tract,NA,NA,7138
Adams County,08001008546,8001008546,32.59,22.34,5.03,38.11,3.99,19.14,36.43,63.73,32.43,43.8,18.01,98.16,13.45,64.73,17.1,44.44,22.5,13.77,45.56,7.37,58.85,43.88,34.67,81.67,72.94,93.32,53.48,67.65,32.51,60.53,87.91,10.01,52.82,23.83,32.19,83.26,11.43,64.9,21.34,63.73,71.1,31.88,76.03,12.28,26.72,Census Tract,NA,NA,3926
Adams County,08001008547,8001008547,52.28,41.79,5.81,51.16,4.77,26.26,69.9,56.45,55.32,50.12,16.97,98.4,20.5,68.04,50.25,44.44,22.5,13.77,42.83,63.6,62.53,44.68,34.03,81.27,72.94,93.32,38.51,75.58,32.51,60.53,97.04,17.61,36.37,27.38,89.77,56.65,31.16,52.58,31.88,58.21,67.33,38.19,72.23,28.68,23.24,Census Tract,NA,NA,3663
Adams County,08001008548,8001008548,40.43,31.87,5.44,41.55,4.19,18.33,64.05,64.45,20.9,57.17,16.09,98.8,37.39,61.59,6.3,44.44,22.5,13.77,45.16,74.26,59.73,34.19,28.1,84.39,72.94,86.21,71.98,51.64,32.51,60.53,95.12,30.98,36.37,29.31,NA,42.34,6.36,52.58,6.84,73.5,34.11,34.87,44.7,44.59,75.95,Census Tract,NA,NA,1639
Adams County,08001008549,8001008549,37.79,33.79,5.52,37.87,3.96,19.86,74.54,54.44,16.97,54.6,14.41,99.04,8.65,64.98,39.03,44.44,22.5,13.77,43.71,81.63,62.69,46.12,30.1,81.67,72.94,95.15,50.92,51.64,32.51,60.53,84.71,3.92,36.37,39.37,NA,15.23,8.45,77.86,31.88,67.09,73.74,51.46,45.18,32.31,28.34,Census Tract,NA,NA,4022
Adams County,08001008550,8001008550,48.44,45.48,5.96,43.71,4.31,30.1,66.69,61.01,50.04,41.39,14.09,99.12,37.79,72.06,57.45,44.44,23.86,13.77,39.63,48.87,68.05,57.01,41.23,80.54,72.94,NA,64.45,51.64,32.51,60.53,86.31,24.9,66.37,45.41,13.12,71.05,24.72,52.58,34.54,55.08,64.61,15.05,81.94,31.58,21.3,Census Tract,NA,NA,8220
Adams County,08001008551,8001008551,43.71,65.33,6.56,31.95,3.64,29.14,84.15,78.86,36.51,30.66,11.85,99.52,30.66,69.97,35.76,44.44,51.4,13.77,40.03,88.82,64.05,68.21,58.53,84.47,92.07,43.97,71.1,94.64,32.51,60.53,96.48,23.86,60,15.38,NA,17.49,43.72,32.61,44.69,65.49,73.98,14.08,24.7,20.52,24.53,Census Tract,NA,NA,1569
Adams County,08001008603,8001008603,90.95,65.81,6.58,93.27,7.67,67.41,53.16,57.41,70.22,98.16,16.17,95.76,87.83,60.39,79.62,75.02,68.94,13.77,47.08,88.04,45.24,17.13,36.11,83.03,77.82,71.01,32.51,91.83,32.51,60.53,95.28,14.33,17.26,77.62,91.07,79,16.75,93.48,97.67,89.83,85.11,95.31,90.85,77.87,94.82,Census Tract,TRUE,NA,1937
Adams County,08001008604,8001008604,54.84,40.75,5.77,55.48,5,40.91,48.44,47.64,28.02,71.26,14.49,95.12,65.73,55.72,30.11,70.7,56.93,13.77,39.55,75.48,44.84,17.93,45.08,85.51,72.94,NA,41.71,51.64,32.51,60.53,37.07,10.41,27.74,30.27,72.19,22.18,12.96,62.96,57.89,83.67,86.71,41.59,67.69,47.5,47.13,Census Tract,NA,NA,5254
Adams County,08001008605,8001008605,64.53,25.06,5.15,77.34,6.46,39.63,40.35,10.97,92.07,61.49,13.53,95.36,61.25,59.66,47.95,58.05,40.35,13.77,42.43,54.25,46.36,18.57,37.15,80.54,72.94,NA,9.13,51.64,32.51,60.53,55.96,54.6,82.5,63.85,77.95,80.84,56.68,48.71,75.93,63.01,67.81,57.77,60.57,47.9,26.96,Census Tract,NA,NA,4278
Adams County,08001008606,8001008606,90.23,67.65,6.63,91.51,7.54,63.49,53.72,68.05,85.91,88.63,14.73,96.4,73.1,62.64,67.68,82.63,67.25,13.77,47,67.68,47,20.9,30.34,87.75,87.35,76.83,44.12,98.88,32.51,60.53,87.35,58.13,62.9,43.16,58.7,77.32,31.16,62.96,69,78.78,89.67,67.31,92.23,61.71,81.94,Census Tract,NA,NA,6120
Adams County,08001008705,8001008705,96.64,76.3,6.95,97.12,8.31,59.49,98.96,17.77,91.03,97.2,4.16,99.68,88.47,89.13,57.94,61.09,91.27,13.77,84.31,71.92,99.84,99.28,90.23,80.54,72.94,NA,18.09,51.64,32.51,48.44,56.12,32.19,48.55,83.98,90.23,84.52,35.51,91.3,96.46,95.44,96.32,89.89,98.22,78.35,67.21,Census Tract,TRUE,NA,5511
Adams County,08001008706,8001008706,87.11,67.57,6.63,87.11,7.14,49.48,93.59,24.5,62.69,93.84,4.56,99.84,88.31,81.72,65.79,44.44,55.48,13.77,86.55,49.65,99.92,99.6,85.91,80.54,72.94,NA,23.62,51.64,32.51,48.44,32.19,17.05,36.37,92.43,96.28,35.98,20.45,83.17,89.69,98.24,98.56,85.36,98.46,54.04,74.33,Census Tract,TRUE,NA,6056
Adams County,08001008709,8001008709,98.56,85.67,7.45,96.64,8.26,64.93,98.48,50.68,87.03,98.88,4,98.24,83.67,92.75,59.33,87.51,93.51,13.77,88.23,58.75,98.8,99.84,97.36,80.54,72.94,93.32,33.07,89.51,32.51,48.44,67.73,34.51,39.68,87.6,79.91,79.25,20.45,94.04,96.78,97.84,99.12,95.95,94.09,72.62,83.89,Census Tract,TRUE,NA,7668
Adams County,08001008801,8001008801,93.43,78.22,7.07,91.43,7.54,54.04,99.6,33.95,82.23,90.79,5.04,100,89.51,80.6,44.35,65.89,72.7,13.77,77.66,77.47,98.88,98.88,92.71,80.54,72.94,NA,34.99,51.64,32.51,48.44,96.08,19.86,36.37,92.75,91.07,56.65,20.45,92.67,93.48,97.28,98.24,82.36,79.92,46.12,91.17,Census Tract,TRUE,NA,5160
Adams County,08001008802,8001008802,91.43,83.75,7.33,83.83,6.93,65.17,87.67,68.69,69.74,87.27,5.92,99.92,67.41,84.3,85.92,88.87,87.51,13.77,59.73,85.88,95.52,98.8,81.27,80.54,81.91,24.78,57.73,96.32,32.51,48.44,63.49,10.73,27.74,72.38,91.53,92.3,18.44,94.93,93.72,97.76,100,85.6,92.63,49.11,49.31,Census Tract,TRUE,NA,5396
Adams County,08001008901,8001008901,94.64,84.15,7.36,90.55,7.47,65.41,98.32,42.19,81.27,89.91,3.76,98.64,93.19,95.09,49.51,95.6,99.04,13.77,88.71,88.13,97.12,99.44,86.23,80.54,72.94,70.47,25.3,90.07,32.51,48.44,97.52,34.83,27.74,77.7,85.77,36.9,27.05,89.86,94.93,89.99,94.48,94.9,88.66,64.86,54.41,Census Tract,TRUE,NA,2800
Adams County,08001009001,8001009001,87.91,54.68,6.24,93.59,7.73,58.21,83.35,9.77,80.94,94.96,7.77,97.76,73.02,85.59,82.98,54.6,57.49,13.77,65.81,74.7,84.95,90.71,25.06,80.54,72.94,86.21,7.77,65.57,32.51,48.44,50.68,27.62,48.55,95.01,79.91,59.33,24.72,85.35,80.35,90.15,92.55,76.62,85.26,87.16,75.79,Census Tract,NA,NA,4420
Adams County,08001009002,8001009002,85.99,69.74,6.72,83.43,6.9,53,92.07,31.79,58.69,91.27,6.57,97.36,44.92,90.98,87.32,60.37,63.73,13.77,63.17,84.06,88.63,92.07,44.04,80.54,72.94,93.32,22.42,74.3,32.51,48.44,97.92,23.62,31.53,73.03,71.26,26.95,11.43,84.62,65.06,92.39,93.43,68.61,92.15,66.56,77,Census Tract,NA,NA,10038
Adams County,08001009101,8001009101,82.39,48.36,6.06,87.99,7.26,36.67,83.99,26.5,88.55,82.23,8.33,98.32,96.16,76.49,31.1,47.96,39.31,13.77,51.64,72.27,83.35,94.24,24.58,80.54,72.94,93.32,17.05,80.06,32.51,48.44,95.44,26.82,48.55,66.59,87.81,72.72,37.52,76.89,81.64,88.39,90.07,64.72,83.4,48.55,56.68,Census Tract,NA,NA,4639
Adams County,08001009103,8001009103,80.14,67.25,6.63,77.74,6.46,27.46,90.55,74.62,36.11,92.79,7.53,99.6,24.98,76.09,33.72,74.06,40.67,13.77,44.92,86.74,83.19,93.59,73.18,80.54,84.31,42.03,68.13,99.2,32.51,51.72,45.24,3.44,27.74,74.64,74.14,56.15,9.26,94.44,69,98.16,98.64,93.45,63.89,77.14,68.26,Census Tract,NA,NA,4435
Adams County,08001009104,8001009104,76.94,70.78,6.76,71.74,6.04,34.03,95.76,59.57,42.75,84.31,7.29,99.36,42.75,75.36,66.2,44.44,42.75,13.77,47.4,91.94,86.55,96.72,54.28,80.54,73.74,95.15,63.25,63.09,32.51,48.44,38.35,9.53,31.53,61.76,76.09,69.29,7.25,89.29,57.89,89.27,88.15,79.77,86.96,36.19,71.42,Census Tract,TRUE,NA,6355
Adams County,08001009202,8001009202,81.91,51.48,6.13,86.87,7.12,57.73,77.58,10.81,68.53,90.07,10.97,97.6,96.48,81.96,55.65,72.14,41.15,13.77,56.61,63.78,79.34,97.6,25.78,80.54,72.94,NA,7.77,73.74,32.51,48.44,75.18,18.65,20.65,99.28,81.58,48.45,21.98,85.35,80.35,93.27,94.32,89.56,91.82,52.1,68.1,Census Tract,TRUE,NA,4554
Adams County,08001009203,8001009203,73.66,49.48,6.08,76.38,6.35,64.05,55.72,18.33,23.46,96.56,15.45,96.64,41.55,88.16,97.22,72.14,44.28,13.77,72.54,13.78,78.46,85.43,27.38,80.54,72.94,93.32,13.45,72.14,32.51,48.44,89.83,2.72,10,87.2,77.95,73.14,2.66,95.97,43.16,91.35,86.39,91.1,92.79,63.33,97.73,Census Tract,TRUE,NA,5220
Adams County,08001009204,8001009204,64.45,42.75,5.86,66.13,5.67,27.54,70.62,55.24,43.07,77.34,14.25,97.92,8.65,79.07,48.69,69.58,38.99,13.77,52.68,29.03,76.06,88.23,32.19,80.54,72.94,93.32,38.35,83.27,32.51,51.72,71.5,22.58,36.37,60.87,69.86,50.46,7.25,56.2,27.94,79.9,74.7,39.97,88.34,59.05,62.59,Census Tract,NA,NA,6836
Adams County,08001009206,8001009206,69.26,33.47,5.51,77.82,6.47,24.5,59.25,54.68,81.18,73.1,11.37,98.96,15.85,76.01,47.71,44.44,22.5,13.77,55.24,15.08,77.74,85.59,31.31,80.54,72.94,93.32,51.56,51.64,32.51,60.53,93.84,38.19,69.27,66.51,55.63,55.15,31.16,54.35,61.51,81.99,71.02,55.34,51.5,45.32,70.77,Census Tract,NA,NA,2340
Adams County,08001009207,8001009207,69.66,38.27,5.7,76.06,6.34,19.22,84.95,51.16,56.93,83.43,9.85,99.2,8.65,74.72,38.71,44.44,22.5,13.77,51.8,70.36,80.94,89.99,29.54,80.54,72.94,93.32,35.39,85.03,32.51,48.44,92.95,26.26,20.65,95.09,54.79,36.23,11.43,82.37,61.51,88.95,82.23,73.06,82.02,46.28,65.02,Census Tract,NA,NA,4760
Adams County,08001009304,8001009304,77.98,59.73,6.4,79.26,6.52,61.97,48.84,59.81,90.71,65.09,18.9,95.6,44.6,88.24,88.54,53.32,40.43,13.77,77.5,9.88,75.58,74.54,28.74,80.54,72.94,93.32,55.96,67.17,32.51,51.72,96.32,47.32,66.37,76.73,71.26,59.5,46.78,54.35,65.06,77.5,65.09,35.36,79.03,24.64,79.03,Census Tract,NA,NA,5756
Adams County,08001009306,8001009306,72.14,55.72,6.26,71.26,6.02,50.52,82.71,19.86,51.16,80.3,13.05,94.32,59.81,94.04,61.54,44.44,37.95,13.77,68.61,74.35,90.47,71.02,36.75,80.54,72.94,NA,19.22,51.64,32.51,51.72,3.04,59.65,52.82,94.69,32.19,68.12,46.78,40.5,80.35,88.79,82.47,32.44,69.55,84.41,74.01,Census Tract,NA,NA,3588
